course_id,title,credits,department_id,instructor_id
1,Introduction to Turn,4,56,390
2,Introduction to Manage,4,76,274
3,Introduction to Able,4,61,248
4,Introduction to Simple,4,78,370
5,Introduction to Population,3,54,412
6,Introduction to Sport,1,57,851
7,Introduction to Ask,4,47,837
8,Introduction to Commercial,1,98,244
9,Introduction to Pattern,1,63,336
10,Introduction to Cost,2,41,458
11,Introduction to Tax,3,94,94
12,Introduction to Off,1,4,861
13,Introduction to Official,1,59,255
14,Introduction to Use,3,33,968
15,Introduction to Growth,3,80,161
16,Introduction to Detail,3,98,192
17,Introduction to Human,3,3,401
18,Introduction to Successful,2,28,815
19,Introduction to Decade,2,32,384
20,Introduction to Western,1,47,656
21,Introduction to Cut,3,27,421
22,Introduction to Wife,3,52,536
23,Introduction to Up,1,7,745
24,Introduction to Education,4,22,199
25,Introduction to His,3,24,8
26,Introduction to To,2,87,244
27,Introduction to Center,2,8,200
28,Introduction to Yeah,3,18,854
29,Introduction to Return,4,98,926
30,Introduction to Account,3,84,280
31,Introduction to Democratic,3,76,356
32,Introduction to Identify,4,77,568
33,Introduction to Grow,4,83,619
34,Introduction to Individual,4,15,50
35,Introduction to Point,4,34,589
36,Introduction to Partner,4,61,678
37,Introduction to Before,4,30,458
38,Introduction to Send,2,53,302
39,Introduction to Traditional,1,6,681
40,Introduction to Doctor,2,65,363
41,Introduction to Least,1,20,699
42,Introduction to Choose,3,100,924
43,Introduction to But,3,89,2
44,Introduction to Hit,2,77,523
45,Introduction to Sometimes,2,69,584
46,Introduction to Guess,2,44,881
47,Introduction to Particular,2,86,552
48,Introduction to Wrong,4,64,421
49,Introduction to Minute,2,99,696
50,Introduction to Table,4,95,667
51,Introduction to Dinner,2,46,605
52,Introduction to Sister,2,67,758
53,Introduction to We,2,70,494
54,Introduction to Other,1,29,873
55,Introduction to Security,1,64,694
56,Introduction to Maintain,3,71,86
57,Introduction to Too,1,20,387
58,Introduction to Activity,3,20,559
59,Introduction to Wide,3,39,413
60,Introduction to Mind,1,63,76
61,Introduction to Prepare,3,77,150
62,Introduction to Fact,1,99,192
63,Introduction to Seek,4,16,473
64,Introduction to Say,2,64,431
65,Introduction to Few,4,82,572
66,Introduction to Avoid,3,1,284
67,Introduction to Rather,2,29,98
68,Introduction to Result,2,62,577
69,Introduction to Field,1,94,461
70,Introduction to Some,3,95,551
71,Introduction to Young,4,14,604
72,Introduction to Soon,2,8,731
73,Introduction to College,3,76,951
74,Introduction to Because,2,31,599
75,Introduction to Into,4,6,649
76,Introduction to Appear,4,48,282
77,Introduction to Institution,1,98,898
78,Introduction to Pick,4,36,730
79,Introduction to Energy,3,98,906
80,Introduction to With,1,90,307
81,Introduction to Player,4,61,140
82,Introduction to Pay,2,89,620
83,Introduction to State,2,70,316
84,Introduction to Radio,4,26,621
85,Introduction to Laugh,3,23,488
86,Introduction to Strong,1,31,967
87,Introduction to Size,4,53,945
88,Introduction to Community,1,12,429
89,Introduction to Away,3,13,234
90,Introduction to Easy,4,96,149
91,Introduction to Tell,2,16,888
92,Introduction to Season,2,93,741
93,Introduction to Film,3,9,418
94,Introduction to Cause,3,94,214
95,Introduction to Finish,3,47,876
96,Introduction to Information,1,2,802
97,Introduction to Star,2,72,363
98,Introduction to Level,4,42,272
99,Introduction to Sing,1,47,567
100,Introduction to Late,3,22,56
101,Introduction to Allow,2,32,406
102,Introduction to Customer,4,19,196
103,Introduction to Develop,1,48,327
104,Introduction to Reveal,1,36,859
105,Introduction to Southern,1,40,329
106,Introduction to Discuss,4,70,977
107,Introduction to Lot,2,26,944
108,Introduction to Project,4,77,350
109,Introduction to Lay,3,16,167
110,Introduction to Top,1,7,702
111,Introduction to Those,2,54,429
112,Introduction to Later,2,88,519
113,Introduction to Entire,4,21,932
114,Introduction to Management,2,100,934
115,Introduction to Save,2,63,234
116,Introduction to Class,1,42,227
117,Introduction to Place,3,70,362
118,Introduction to Data,2,69,596
119,Introduction to Position,3,71,737
120,Introduction to Leg,2,89,348
121,Introduction to Natural,2,7,773
122,Introduction to Line,3,19,548
123,Introduction to Treatment,4,20,432
124,Introduction to Change,2,73,299
125,Introduction to From,1,21,94
126,Introduction to Professional,3,76,964
127,Introduction to Nor,4,59,421
128,Introduction to Collection,1,74,743
129,Introduction to Pull,1,21,896
130,Introduction to Resource,3,23,610
131,Introduction to Network,1,3,99
132,Introduction to Remain,1,67,542
133,Introduction to Draw,1,72,171
134,Introduction to Job,1,88,881
135,Introduction to Defense,1,95,486
136,Introduction to Though,4,1,480
137,Introduction to Small,1,22,714
138,Introduction to Knowledge,2,76,940
139,Introduction to Kind,3,18,492
140,Introduction to Decision,4,84,793
141,Introduction to Step,1,74,562
142,Introduction to Opportunity,1,98,344
143,Introduction to A,2,23,506
144,Introduction to Nature,1,13,328
145,Introduction to Condition,1,84,16
146,Introduction to Yes,4,25,419
147,Introduction to Situation,2,53,467
148,Introduction to Voice,2,88,571
149,Introduction to Such,2,58,847
150,Introduction to Professor,3,71,611
151,Introduction to Follow,2,33,682
152,Introduction to Religious,2,71,359
153,Introduction to Imagine,4,4,396
154,Introduction to Care,3,58,65
155,Introduction to Sea,4,81,154
156,Introduction to Fill,2,70,604
157,Introduction to Should,3,54,143
158,Introduction to Back,4,75,169
159,Introduction to Particularly,2,57,289
160,Introduction to Fall,3,22,269
161,Introduction to Exist,3,10,712
162,Introduction to Happen,1,83,517
163,Introduction to Owner,3,10,584
164,Introduction to Increase,3,41,599
165,Introduction to Congress,1,76,264
166,Introduction to Any,2,45,412
167,Introduction to Could,4,1,647
168,Introduction to Really,1,60,653
169,Introduction to Hair,1,4,647
170,Introduction to Himself,3,17,370
171,Introduction to Anyone,2,85,181
172,Introduction to Possible,2,68,580
173,Introduction to So,2,38,306
174,Introduction to Let,3,91,78
175,Introduction to Very,4,29,505
176,Introduction to Must,3,33,645
177,Introduction to Cultural,3,36,327
178,Introduction to Fight,2,10,875
179,Introduction to Key,2,11,887
180,Introduction to Series,4,35,882
181,Introduction to Quite,2,80,515
182,Introduction to Stock,1,12,120
183,Introduction to Issue,2,36,239
184,Introduction to True,1,92,831
185,Introduction to Area,3,35,522
186,Introduction to Weight,4,87,792
187,Introduction to Involve,2,17,819
188,Introduction to Firm,2,1,650
189,Introduction to Political,3,70,799
190,Introduction to Green,2,88,834
191,Introduction to Break,1,31,435
192,Introduction to Environment,3,78,870
193,Introduction to Vote,4,62,621
194,Introduction to However,2,44,725
195,Introduction to Hundred,1,88,372
196,Introduction to Water,3,76,994
197,Introduction to Someone,1,100,760
198,Introduction to International,1,12,144
199,Introduction to Reality,3,63,955
200,Introduction to Computer,2,54,585
201,Introduction to Attack,2,93,985
202,Introduction to Big,1,72,636
203,Introduction to Method,3,25,192
204,Introduction to Huge,4,61,965
205,Introduction to Material,2,59,87
206,Introduction to Health,3,13,16
207,Introduction to Interesting,1,84,703
208,Introduction to Help,4,56,337
209,Introduction to You,3,32,325
210,Introduction to Pretty,3,57,536
211,Introduction to Figure,2,13,967
212,Introduction to For,2,26,234
213,Introduction to Show,2,70,424
214,Introduction to Skin,1,17,49
215,Introduction to Word,4,31,667
216,Introduction to Against,3,19,651
217,Introduction to Deal,3,4,494
218,Introduction to Share,3,90,445
219,Introduction to Tv,4,71,508
220,Introduction to Heavy,2,35,506
221,Introduction to Story,1,95,638
222,Introduction to Sure,3,6,246
223,Introduction to Poor,4,25,402
224,Introduction to Seat,2,64,976
225,Introduction to Much,1,66,189
226,Introduction to Our,3,93,6
227,Introduction to Republican,2,66,220
228,Introduction to Leave,2,79,251
229,Introduction to Be,1,88,989
230,Introduction to Form,4,15,224
231,Introduction to Charge,1,68,142
232,Introduction to Standard,4,57,909
233,Introduction to Sort,4,69,939
234,Introduction to Available,1,64,865
235,Introduction to Physical,2,52,700
236,Introduction to Argue,3,88,858
237,Introduction to Down,2,55,299
238,Introduction to Door,1,98,258
239,Introduction to General,2,18,661
240,Introduction to Go,3,1,873
241,Introduction to Occur,3,93,272
242,Introduction to Stuff,4,5,113
243,Introduction to Authority,4,35,846
244,Introduction to Six,3,55,708
245,Introduction to Lawyer,3,35,746
246,Introduction to She,1,27,462
247,Introduction to Media,2,97,23
248,Introduction to During,4,22,159
249,Introduction to Like,3,3,739
250,Introduction to Style,1,70,607
251,Introduction to Fast,1,83,711
252,Introduction to Nothing,2,57,982
253,Introduction to Interest,2,73,97
254,Introduction to Through,1,28,537
255,Introduction to Probably,2,90,484
256,Introduction to Over,4,51,155
257,Introduction to News,2,40,693
258,Introduction to Store,1,53,854
259,Introduction to Wall,4,41,440
260,Introduction to Low,1,65,225
261,Introduction to Question,3,29,292
262,Introduction to Unit,2,13,798
263,Introduction to Evening,1,98,122
264,Introduction to Impact,1,92,73
265,Introduction to Purpose,3,23,368
266,Introduction to Difference,2,2,164
267,Introduction to Writer,4,44,305
268,Introduction to Get,2,80,775
269,Introduction to Car,1,4,965
270,Introduction to Site,2,27,770
271,Introduction to Catch,4,51,480
272,Introduction to Plant,4,3,337
273,Introduction to Nice,3,98,2
274,Introduction to Behavior,3,7,410
275,Introduction to Raise,1,9,722
276,Introduction to Ever,4,77,370
277,Introduction to Husband,2,98,382
278,Introduction to President,3,19,558
279,Introduction to Thing,2,71,18
280,Introduction to Fine,3,51,66
281,Introduction to Present,4,84,643
282,Introduction to Offer,1,100,764
283,Introduction to None,3,99,191
284,Introduction to Note,3,68,828
285,Introduction to Inside,1,64,468
286,Introduction to Body,1,73,986
287,Introduction to Their,4,57,376
288,Introduction to Leader,4,11,289
289,Introduction to Strategy,4,99,326
290,Introduction to Second,3,99,819
291,Introduction to Then,1,92,943
292,Introduction to What,3,53,396
293,Introduction to Focus,2,36,803
294,Introduction to Production,2,45,64
295,Introduction to Deep,2,99,59
296,Introduction to Spend,3,85,335
297,Introduction to Similar,4,77,225
298,Introduction to Majority,1,99,559
299,Introduction to Ahead,1,48,511
300,Introduction to Hot,1,34,763
301,Introduction to Certainly,1,53,979
302,Introduction to Worker,3,67,72
303,Introduction to Article,4,59,322
304,Introduction to Middle,2,15,106
305,Introduction to Act,1,81,990
306,Introduction to Might,3,93,498
307,Introduction to Drug,4,14,562
308,Introduction to Worry,1,11,781
309,Introduction to Family,2,12,479
310,Introduction to Others,4,75,471
311,Introduction to Describe,3,56,599
312,Introduction to Add,3,23,283
313,Introduction to Most,2,93,964
314,Introduction to Thus,4,71,232
315,Introduction to Sign,3,55,636
316,Introduction to Herself,1,87,956
317,Introduction to Many,4,57,614
318,Introduction to Hard,3,30,761
319,Introduction to Type,2,71,21
320,Introduction to Current,3,64,893
321,Introduction to Goal,2,67,484
322,Introduction to Pass,2,98,964
323,Introduction to Budget,4,34,715
324,Introduction to Hope,1,67,622
325,Introduction to Next,1,49,407
326,Introduction to Century,4,43,493
327,Introduction to Election,3,63,630
328,Introduction to Coach,3,3,444
329,Introduction to Notice,4,15,485
330,Introduction to Bill,2,53,905
331,Introduction to Girl,4,28,1
332,Introduction to Week,2,18,896
333,Introduction to Civil,4,22,727
334,Introduction to Admit,1,47,789
335,Introduction to Build,2,29,153
336,Introduction to Her,1,88,236
337,Introduction to Smile,1,90,374
338,Introduction to Member,1,15,558
339,Introduction to Wish,3,60,440
340,Introduction to Color,2,52,219
341,Introduction to Specific,4,45,418
342,Introduction to On,2,97,297
343,Introduction to Couple,4,20,746
344,Introduction to Environmental,4,34,778
345,Introduction to Suffer,3,40,869
346,Introduction to According,4,57,643
347,Introduction to Open,4,61,882
348,Introduction to Candidate,2,2,423
349,Introduction to Remember,2,52,972
350,Introduction to Performance,3,77,248
351,Introduction to Song,3,3,732
352,Introduction to Meet,3,19,996
353,Introduction to Need,2,54,985
354,Introduction to Group,4,97,872
355,Introduction to Summer,2,1,465
356,Introduction to Throw,4,73,390
357,Introduction to Behind,2,19,180
358,Introduction to Us,1,72,503
359,Introduction to Number,1,36,682
360,Introduction to Plan,3,65,299
361,Introduction to Light,1,39,473
362,Introduction to Ground,4,19,548
363,Introduction to Newspaper,3,99,353
364,Introduction to Amount,1,77,656
365,Introduction to Peace,4,41,825
366,Introduction to Would,4,53,322
367,Introduction to Pm,2,61,705
368,Introduction to Friend,3,83,4
369,Introduction to Shoulder,2,40,212
370,Introduction to Hand,2,31,985
371,Introduction to Half,2,36,792
372,Introduction to Garden,4,89,731
373,Introduction to Marriage,3,95,530
374,Introduction to There,1,19,685
375,Introduction to Hospital,1,81,679
376,Introduction to Fish,4,95,750
377,Introduction to Night,1,95,473
378,Introduction to Former,3,49,695
379,Introduction to Analysis,4,29,744
380,Introduction to Compare,1,83,250
381,Introduction to Economic,4,68,644
382,Introduction to Me,2,21,659
383,Introduction to End,2,83,448
384,Introduction to Everybody,4,12,470
385,Introduction to Real,2,97,668
386,Introduction to Listen,4,43,263
387,Introduction to Board,4,69,763
388,Introduction to Until,1,52,403
389,Introduction to Yard,4,70,650
390,Introduction to Phone,4,13,384
391,Introduction to Party,1,76,904
392,Introduction to Painting,2,31,759
393,Introduction to Believe,2,94,419
394,Introduction to Side,2,99,848
395,Introduction to Dark,3,78,5
396,Introduction to Company,4,54,442
397,Introduction to Wait,4,81,745
398,Introduction to Clearly,4,78,181
399,Introduction to Case,3,48,407
400,Introduction to Enough,3,3,911
401,Introduction to Quickly,1,34,375
402,Introduction to Box,4,39,269
403,Introduction to Agree,2,22,3
404,Introduction to Which,4,80,887
405,Introduction to Matter,1,3,627
406,Introduction to Paper,2,32,664
407,Introduction to Take,3,89,185
408,Introduction to System,2,30,593
409,Introduction to Memory,1,9,3
410,Introduction to Piece,2,52,730
411,Introduction to Start,1,50,775
412,Introduction to Cup,3,26,623
413,Introduction to Model,2,30,778
414,Introduction to Black,1,3,862
415,Introduction to Whole,4,66,385
416,Introduction to Again,2,39,490
417,Introduction to Window,2,90,656
418,Introduction to History,4,45,193
419,Introduction to Task,4,14,19
420,Introduction to Or,3,54,102
421,Introduction to Design,3,90,797
422,Introduction to Culture,3,30,779
423,Introduction to Recently,3,87,392
424,Introduction to See,2,74,621
425,Introduction to Reduce,4,52,656
426,Introduction to Tonight,1,12,621
427,Introduction to Power,4,51,479
428,Introduction to Foreign,3,96,84
429,Introduction to Organization,1,42,45
430,Introduction to Brother,4,59,745
431,Introduction to Bar,4,50,998
432,Introduction to Degree,1,38,914
433,Introduction to Today,3,65,655
434,Introduction to Necessary,4,80,151
435,Introduction to Determine,1,94,879
436,Introduction to Address,3,3,458
437,Introduction to Together,2,36,375
438,Introduction to School,2,25,561
439,Introduction to Trial,2,35,234
440,Introduction to Just,2,4,100
441,Introduction to Local,1,45,97
442,Introduction to Discover,2,87,284
443,Introduction to Structure,1,51,995
444,Introduction to Near,4,97,805
445,Introduction to Both,4,6,397
446,Introduction to Race,4,52,699
447,Introduction to Value,1,91,637
448,Introduction to Cell,3,43,232
449,Introduction to Than,4,36,944
450,Introduction to Reason,4,13,163
451,Introduction to Team,2,69,904
452,Introduction to Create,4,15,187
453,Introduction to Here,1,46,350
454,Introduction to Keep,4,18,164
455,Introduction to Accept,1,8,423
456,Introduction to Product,4,100,603
457,Introduction to Program,4,53,358
458,Introduction to Bed,1,93,978
459,Introduction to One,2,48,69
460,Introduction to No,1,46,736
461,Introduction to Process,3,81,204
462,Introduction to Edge,3,12,313
463,Introduction to Public,3,43,311
464,Introduction to Play,3,19,408
465,Introduction to Technology,4,98,645
466,Introduction to He,3,55,642
467,Introduction to Section,1,27,125
468,Introduction to Continue,3,19,756
469,Introduction to Order,4,83,898
470,Introduction to Teach,3,50,386
471,Introduction to Score,1,51,929
472,Introduction to Teacher,3,86,394
473,Introduction to Especially,2,33,836
474,Introduction to Action,1,51,144
475,Introduction to Think,2,95,82
476,Introduction to Chair,2,94,294
477,Introduction to West,3,72,315
478,Introduction to Become,1,51,328
479,Introduction to Scientist,3,1,453
480,Introduction to Good,4,91,282
481,Introduction to Trade,2,76,88
482,Introduction to Fund,2,86,596
483,Introduction to Kitchen,3,99,209
484,Introduction to This,4,7,60
485,Introduction to Eye,1,70,930
486,Introduction to Hold,2,40,138
487,Introduction to Head,2,77,456
488,Introduction to High,2,80,223
489,Introduction to Threat,2,61,892
490,Introduction to Floor,1,55,339
491,Introduction to Push,1,46,247
492,Introduction to More,1,49,852
493,Introduction to Success,1,32,196
494,Introduction to Prove,4,1,115
495,Introduction to Movement,1,10,477
496,Introduction to Agency,4,73,137
497,Introduction to Along,2,80,742
498,Introduction to Tend,2,6,377
499,Introduction to Whatever,4,56,331
500,Introduction to Study,1,61,70
501,Introduction to Child,4,61,211
502,Introduction to Ok,1,98,14
503,Introduction to Baby,2,96,112
504,Introduction to Social,1,32,528
505,Introduction to Surface,2,8,737
